superblock,block,condition,sounddir,audioo,audioTarget,visuall,visualTarget,showprompt
1,2,Visual,bird,4,,1,,1
1,2,Visual,bird,6,,1,1,1
1,2,Visual,bird,1,,1,1,1
1,2,Visual,bird,4,,4,,1
1,2,Visual,bird,5,,2,,1
1,2,Visual,bird,1,,5,,1
1,2,Visual,bird,4,,3,,1
1,2,Visual,bird,6,,1,,1
1,2,Visual,bird,1,,6,,1
1,2,Visual,bird,1,,2,,1
1,2,Visual,bird,1,,3,,1
1,2,Visual,bird,6,,1,,1
1,2,Visual,bird,6,,6,,1
1,2,Visual,bird,6,,2,,1
1,2,Visual,bird,1,,4,,1
1,2,Visual,bird,5,,5,,1
1,2,Visual,bird,2,,5,1,1
1,2,Visual,bird,3,,1,,1
1,2,Visual,bird,6,,2,,1
1,2,Visual,bird,4,,6,,1
1,2,Visual,bird,2,,6,1,1
1,3,Rest,rest,0,,rest,,0
1,3,Rest,rest,0,,rest,,0
1,3,Rest,rest,0,,rest,,0
1,3,Rest,rest,0,,rest,,0
1,3,Rest,rest,0,,rest,,0
1,3,Rest,rest,0,,rest,,0
1,3,Rest,rest,0,,rest,,0
1,3,Rest,rest,0,,rest,,0
1,3,Rest,rest,0,,rest,,0
2,2,Visual,bird,1,,1,,1
2,2,Visual,bird,4,,5,,1
2,2,Visual,bird,3,,4,,1
2,2,Visual,bird,6,,1,,1
2,2,Visual,bird,5,,6,,1
2,2,Visual,bird,5,,5,,1
2,2,Visual,bird,1,,3,,1
2,2,Visual,bird,1,,4,,1
2,2,Visual,bird,3,,1,,1
2,2,Visual,bird,6,,1,1,1
2,2,Visual,bird,4,,5,,1
2,2,Visual,bird,2,,2,,1
2,2,Visual,bird,5,,2,1,1
2,2,Visual,bird,3,,2,1,1
2,2,Visual,bird,4,,5,,1
2,2,Visual,bird,2,,5,1,1
2,2,Visual,bird,3,,3,,1
2,2,Visual,bird,1,,1,,1
2,2,Visual,bird,6,,4,,1
2,2,Visual,bird,6,,5,,1
2,2,Visual,bird,6,,1,,1
2,3,Rest,rest,0,,rest,,0
2,3,Rest,rest,0,,rest,,0
2,3,Rest,rest,0,,rest,,0
2,3,Rest,rest,0,,rest,,0
2,3,Rest,rest,0,,rest,,0
2,3,Rest,rest,0,,rest,,0
2,3,Rest,rest,0,,rest,,0
2,3,Rest,rest,0,,rest,,0
2,3,Rest,rest,0,,rest,,0
3,1,Audio,bird,3,,6,,1
3,1,Audio,bird,3,1,3,,1
3,1,Audio,bird,2,,2,,1
3,1,Audio,bird,1,,6,,1
3,1,Audio,bird,1,1,3,,1
3,1,Audio,bird,3,,3,,1
3,1,Audio,bird,6,,4,,1
3,1,Audio,bird,4,,6,,1
3,1,Audio,bird,1,,6,,1
3,1,Audio,bird,3,,4,,1
3,1,Audio,bird,5,,1,,1
3,1,Audio,bird,5,1,6,,1
3,1,Audio,bird,1,,5,,1
3,1,Audio,bird,3,,2,,1
3,1,Audio,bird,5,,1,,1
3,1,Audio,bird,2,,5,,1
3,1,Audio,bird,4,,5,,1
3,1,Audio,bird,3,,5,,1
3,1,Audio,bird,1,,4,,1
3,1,Audio,bird,6,,2,,1
3,1,Audio,bird,6,1,1,,1
3,3,Rest,rest,0,,rest,,0
3,3,Rest,rest,0,,rest,,0
3,3,Rest,rest,0,,rest,,0
3,3,Rest,rest,0,,rest,,0
3,3,Rest,rest,0,,rest,,0
3,3,Rest,rest,0,,rest,,0
3,3,Rest,rest,0,,rest,,0
3,3,Rest,rest,0,,rest,,0
3,3,Rest,rest,0,,rest,,0
4,1,Audio,bird,4,,2,,1
4,1,Audio,bird,6,,3,,1
4,1,Audio,bird,1,,3,,1
4,1,Audio,bird,5,,5,,1
4,1,Audio,bird,5,1,1,,1
4,1,Audio,bird,5,1,3,,1
4,1,Audio,bird,3,,4,,1
4,1,Audio,bird,4,,1,,1
4,1,Audio,bird,1,,2,,1
4,1,Audio,bird,5,,5,,1
4,1,Audio,bird,3,,1,,1
4,1,Audio,bird,6,,6,,1
4,1,Audio,bird,1,,6,,1
4,1,Audio,bird,1,1,5,,1
4,1,Audio,bird,6,,1,,1
4,1,Audio,bird,2,,4,,1
4,1,Audio,bird,3,,4,,1
4,1,Audio,bird,4,,4,,1
4,1,Audio,bird,5,,1,,1
4,1,Audio,bird,3,,3,,1
4,1,Audio,bird,3,1,2,,1
4,3,Rest,rest,0,,rest,,0
4,3,Rest,rest,0,,rest,,0
4,3,Rest,rest,0,,rest,,0
4,3,Rest,rest,0,,rest,,0
4,3,Rest,rest,0,,rest,,0
4,3,Rest,rest,0,,rest,,0
4,3,Rest,rest,0,,rest,,0
4,3,Rest,rest,0,,rest,,0
4,3,Rest,rest,0,,rest,,0
5,2,Visual,bird,5,,6,,1
5,2,Visual,bird,4,,6,1,1
5,2,Visual,bird,3,,2,,1
5,2,Visual,bird,6,,1,,1
5,2,Visual,bird,2,,6,,1
5,2,Visual,bird,2,,3,,1
5,2,Visual,bird,4,,5,,1
5,2,Visual,bird,4,,6,,1
5,2,Visual,bird,4,,1,,1
5,2,Visual,bird,2,,5,,1
5,2,Visual,bird,3,,5,1,1
5,2,Visual,bird,6,,3,,1
5,2,Visual,bird,5,,4,,1
5,2,Visual,bird,1,,4,1,1
5,2,Visual,bird,2,,5,,1
5,2,Visual,bird,3,,1,,1
5,2,Visual,bird,3,,2,,1
5,2,Visual,bird,1,,3,,1
5,2,Visual,bird,4,,3,1,1
5,2,Visual,bird,6,,2,,1
5,2,Visual,bird,1,,4,,1
5,3,Rest,rest,0,,rest,,0
5,3,Rest,rest,0,,rest,,0
5,3,Rest,rest,0,,rest,,0
5,3,Rest,rest,0,,rest,,0
5,3,Rest,rest,0,,rest,,0
5,3,Rest,rest,0,,rest,,0
5,3,Rest,rest,0,,rest,,0
5,3,Rest,rest,0,,rest,,0
5,3,Rest,rest,0,,rest,,0
6,1,Audio,bird,2,,6,,1
6,1,Audio,bird,1,,6,,1
6,1,Audio,bird,6,,2,,1
6,1,Audio,bird,3,,2,,1
6,1,Audio,bird,5,,1,,1
6,1,Audio,bird,5,1,5,,1
6,1,Audio,bird,6,,4,,1
6,1,Audio,bird,4,,1,,1
6,1,Audio,bird,5,,2,,1
6,1,Audio,bird,1,,3,,1
6,1,Audio,bird,3,,4,,1
6,1,Audio,bird,6,,2,,1
6,1,Audio,bird,6,1,5,,1
6,1,Audio,bird,1,,4,,1
6,1,Audio,bird,4,,1,,1
6,1,Audio,bird,5,,1,,1
6,1,Audio,bird,3,,1,,1
6,1,Audio,bird,6,,2,,1
6,1,Audio,bird,4,,4,,1
6,1,Audio,bird,4,1,3,,1
6,1,Audio,bird,4,1,5,,1
6,3,Rest,rest,0,,rest,,0
6,3,Rest,rest,0,,rest,,0
6,3,Rest,rest,0,,rest,,0
6,3,Rest,rest,0,,rest,,0
6,3,Rest,rest,0,,rest,,0
6,3,Rest,rest,0,,rest,,0
6,3,Rest,rest,0,,rest,,0
6,3,Rest,rest,0,,rest,,0
6,3,Rest,rest,0,,rest,,0
7,1,Audio,bird,4,,2,,1
7,1,Audio,bird,6,,2,,1
7,1,Audio,bird,1,,6,,1
7,1,Audio,bird,5,,4,,1
7,1,Audio,bird,3,,5,,1
7,1,Audio,bird,3,1,6,,1
7,1,Audio,bird,5,,2,,1
7,1,Audio,bird,5,1,5,,1
7,1,Audio,bird,3,,4,,1
7,1,Audio,bird,2,,1,,1
7,1,Audio,bird,6,,1,,1
7,1,Audio,bird,4,,3,,1
7,1,Audio,bird,4,1,2,,1
7,1,Audio,bird,3,,1,,1
7,1,Audio,bird,2,,5,,1
7,1,Audio,bird,1,,4,,1
7,1,Audio,bird,4,,3,,1
7,1,Audio,bird,6,,3,,1
7,1,Audio,bird,6,1,5,,1
7,1,Audio,bird,5,,4,,1
7,1,Audio,bird,4,,4,,1
7,3,Rest,rest,0,,rest,,0
7,3,Rest,rest,0,,rest,,0
7,3,Rest,rest,0,,rest,,0
7,3,Rest,rest,0,,rest,,0
7,3,Rest,rest,0,,rest,,0
7,3,Rest,rest,0,,rest,,0
